step,fourier_train_loss,fourier_test_loss,fourier_test_r2_plume,fourier_test_mae_plume,wno_train_loss,wno_test_loss,wno_test_r2_plume,wno_test_mae_plume,delta_r2_plume,delta_test_loss
0,0.9032993912696838,0.8440310955047607,0.11508582532405853,0.0680677592754364,0.9009206295013428,0.866449236869812,0.14118894934654236,0.07665218412876129,0.026103124022483826,-0.02241814136505127
10,0.8524927496910095,0.8412271738052368,0.13264945149421692,0.06899290531873703,0.8473325967788696,0.8453523516654968,0.14233776926994324,0.07100717723369598,0.009688317775726318,-0.00412517786026001
20,0.7748990058898926,0.8412314653396606,0.12156448513269424,0.0663735419511795,0.7899024486541748,0.8431398868560791,0.12337370216846466,0.06901755183935165,0.0018092170357704163,-0.001908421516418457
30,0.809285044670105,0.8385260105133057,0.12896090745925903,0.06538412719964981,0.7818800806999207,0.8399351835250854,0.14706328511238098,0.06817577034235,0.018102377653121948,-0.0014091730117797852
40,0.7524663805961609,0.8416001200675964,0.12242332845926285,0.06702779978513718,0.7654324173927307,0.837194561958313,0.13737715780735016,0.06666550040245056,0.01495382934808731,0.004405558109283447
50,0.7837202548980713,0.8408206105232239,0.12394199520349503,0.0667227953672409,0.7564358711242676,0.8308864235877991,0.16299937665462494,0.06582207977771759,0.03905738145112991,0.009934186935424805
60,0.7325685024261475,0.8403137922286987,0.12817779183387756,0.0671808123588562,0.7132358551025391,0.801950991153717,0.2517130970954895,0.06279618293046951,0.12353530526161194,0.03836280107498169
70,0.7080786824226379,0.8266423344612122,0.17869655787944794,0.06437583267688751,0.6867521405220032,0.8133666515350342,0.18767258524894714,0.06460113823413849,0.008976027369499207,0.013275682926177979
80,0.724238395690918,0.7708555459976196,0.3619014620780945,0.05825365334749222,0.6883710622787476,0.8741481304168701,-0.17048200964927673,0.061899345368146896,-0.5323834717273712,-0.10329258441925049
90,0.6648813486099243,0.7533536553382874,0.4070367217063904,0.05517740175127983,0.6584049463272095,0.7542353868484497,0.3655370771884918,0.05469748377799988,-0.04149964451789856,-0.0008817315101623535
100,0.5791114568710327,0.8865804076194763,-0.11791900545358658,0.059559065848588943,0.6503322124481201,0.8569620847702026,-0.09758325666189194,0.05986931174993515,0.02033574879169464,0.02961832284927368
110,0.5777944922447205,0.769589364528656,0.2334691286087036,0.053202103823423386,0.6174284815788269,0.7355164885520935,0.3984566628932953,0.05064455419778824,0.16498753428459167,0.0340728759765625
120,0.6247343420982361,0.717278778553009,0.460559219121933,0.05038335919380188,0.6574499607086182,0.8068201541900635,0.08592764288187027,0.0566047728061676,-0.3746315762400627,-0.08954137563705444
130,0.7173250913619995,0.747452437877655,0.32971590757369995,0.051847904920578,0.7515607476234436,0.7489994764328003,0.35766762495040894,0.056705377995967865,0.027951717376708984,-0.0015470385551452637
140,0.6200299859046936,0.7656267285346985,0.3615455627441406,0.05680273845791817,0.5809897184371948,0.8515285849571228,-0.1936236321926117,0.057355284690856934,-0.5551691949367523,-0.08590185642242432
150,0.6136608123779297,0.9737331867218018,-0.5272563695907593,0.056262075901031494,0.614730715751648,0.8510923385620117,-0.19636337459087372,0.0552205815911293,0.33089299499988556,0.12264084815979004
160,0.5434108972549438,0.802685022354126,0.04870522767305374,0.059022415429353714,0.5724945664405823,0.7789614796638489,0.1684805005788803,0.053980402648448944,0.11977527290582657,0.0237235426902771
