step,fourier_train_loss,fourier_test_loss,fourier_test_r2_plume,fourier_test_mae_plume,wno_train_loss,wno_test_loss,wno_test_r2_plume,wno_test_mae_plume,delta_r2_plume,delta_test_loss
0,6.025870323181152,0.9202352166175842,-0.35649603605270386,5.133929252624512,5.748857498168945,0.9298097491264343,-0.3474101126194,5.125323295593262,0.009085923433303833,-0.009574532508850098
10,1.239285945892334,0.832048237323761,-0.6157611608505249,5.244187831878662,1.608020544052124,0.8559263348579407,-0.4779811501502991,5.2001752853393555,0.13778001070022583,-0.023878097534179688
20,1.0564184188842773,0.8374331593513489,-0.7799657583236694,5.269507884979248,1.3638923168182373,0.8415847420692444,-0.6862775087356567,5.269394397735596,0.0936882495880127,-0.004151582717895508
30,0.6352763772010803,0.8231329321861267,-0.6509872078895569,5.222116470336914,0.8622056245803833,0.8465723991394043,-0.7920110821723938,5.295611381530762,-0.14102387428283691,-0.023439466953277588
40,1.8384628295898438,0.8686634302139282,-0.7217835187911987,5.214723587036133,2.9260942935943604,0.8672438263893127,-1.1258771419525146,5.358294486999512,-0.4040936231613159,0.0014196038246154785
50,0.6283422708511353,0.8255960941314697,-0.6023491024971008,5.190837860107422,0.6873010396957397,0.8570747375488281,-0.9034643173217773,5.323561668395996,-0.3011152148246765,-0.0314786434173584
60,0.705979585647583,0.8242871761322021,-0.5680738687515259,5.17315149307251,0.9755183458328247,0.8591243028640747,-0.9415615797042847,5.332167148590088,-0.3734877109527588,-0.03483712673187256
70,0.6113947629928589,0.812694251537323,-0.5228042006492615,5.159220218658447,0.7854859828948975,0.8794237375259399,-1.102260947227478,5.359395503997803,-0.5794567465782166,-0.06672948598861694
80,0.8815804719924927,0.8133034110069275,-0.5299705862998962,5.164999961853027,1.0164207220077515,0.8700965642929077,-0.9709027409553528,5.336987495422363,-0.44093215465545654,-0.056793153285980225
90,0.52311772108078,0.8199392557144165,-0.5210230350494385,5.147961616516113,0.7296925783157349,0.8625937700271606,-0.9123250246047974,5.322098731994629,-0.3913019895553589,-0.04265451431274414
100,0.5184237360954285,0.8210285902023315,-0.5273852944374084,5.154889106750488,0.7436856031417847,0.8551560044288635,-0.9423797726631165,5.324359893798828,-0.414994478225708,-0.03412741422653198
110,0.5588910579681396,0.8174039125442505,-0.5051364302635193,5.151379585266113,0.6625100374221802,0.837592601776123,-0.7772808074951172,5.286092281341553,-0.2721443772315979,-0.02018868923187256
120,0.6345375776290894,0.8222272992134094,-0.5361064672470093,5.159791469573975,0.7592051029205322,0.8546230792999268,-0.8881424069404602,5.296995639801025,-0.3520359396934509,-0.032395780086517334
130,0.5817772150039673,0.8194613456726074,-0.5166878700256348,5.152459144592285,0.7009881734848022,0.8260162472724915,-0.6729551553726196,5.252889633178711,-0.15626728534698486,-0.006554901599884033
140,0.5046748518943787,0.8270440101623535,-0.541000485420227,5.155218601226807,0.6285461187362671,0.8199505805969238,-0.6209917068481445,5.228699684143066,-0.07999122142791748,0.0070934295654296875
150,0.5526928305625916,0.8137295842170715,-0.5027343034744263,5.138133525848389,0.699176549911499,0.8204554319381714,-0.6099432706832886,5.223355770111084,-0.1072089672088623,-0.0067258477210998535
160,0.5556924343109131,0.8137209415435791,-0.49902820587158203,5.134047508239746,0.6941841840744019,0.8228563070297241,-0.6049349308013916,5.216597557067871,-0.10590672492980957,-0.00913536548614502
170,0.5048607587814331,0.8154178857803345,-0.49727970361709595,5.1262898445129395,0.6806316375732422,0.8214048147201538,-0.6130796670913696,5.219695091247559,-0.11579996347427368,-0.005986928939819336
180,0.4527371823787689,0.818718433380127,-0.5307260751724243,5.147416114807129,0.5968049764633179,0.8238052129745483,-0.6275865435600281,5.218359470367432,-0.09686046838760376,-0.005086779594421387
190,0.5459957718849182,0.8087159991264343,-0.5008817911148071,5.137329578399658,0.6285057067871094,0.8164561986923218,-0.5944311022758484,5.210890769958496,-0.09354931116104126,-0.007740199565887451
200,0.4849797487258911,0.8189071416854858,-0.5218135118484497,5.14129114151001,0.5577373504638672,0.8245909214019775,-0.6364468336105347,5.2188520431518555,-0.11463332176208496,-0.005683779716491699
210,0.5189000368118286,0.8238850235939026,-0.5301805734634399,5.136447429656982,0.6078764796257019,0.8291459679603577,-0.6562854647636414,5.219809055328369,-0.12610489130020142,-0.005260944366455078
220,0.4462760090827942,0.8189493417739868,-0.5096504092216492,5.1247148513793945,0.5858722925186157,0.8289987444877625,-0.6665085554122925,5.224611282348633,-0.1568581461906433,-0.010049402713775635
230,0.5327034592628479,0.8213305473327637,-0.5116851925849915,5.120030403137207,0.809826135635376,0.8659544587135315,-0.7310037016868591,5.233566761016846,-0.21931850910186768,-0.04462391138076782
240,0.5001073479652405,0.8221527338027954,-0.51868736743927,5.12503719329834,0.5949101448059082,0.828771710395813,-0.6303068399429321,5.215506076812744,-0.11161947250366211,-0.006618976593017578
250,0.41706475615501404,0.8226117491722107,-0.5320767760276794,5.131687164306641,0.47993171215057373,0.8295225501060486,-0.6685410141944885,5.220855712890625,-0.13646423816680908,-0.006910800933837891
260,0.48333996534347534,0.8163149356842041,-0.5094138383865356,5.126604080200195,0.5565565228462219,0.8198346495628357,-0.643682062625885,5.212187767028809,-0.13426822423934937,-0.003519713878631592
270,0.5150584578514099,0.8234450817108154,-0.539357602596283,5.142196178436279,0.5967584252357483,0.8230572938919067,-0.6258770227432251,5.211924076080322,-0.08651942014694214,0.0003877878189086914
280,0.5478513836860657,0.819627046585083,-0.5204420685768127,5.130518913269043,0.6146218180656433,0.8273640871047974,-0.6095649003982544,5.203042030334473,-0.08912283182144165,-0.0077370405197143555
290,0.5966202020645142,0.8217350244522095,-0.541857123374939,5.145419120788574,0.8773932456970215,0.8407274484634399,-0.6626778841018677,5.215392112731934,-0.12082076072692871,-0.01899242401123047
300,0.5122260451316833,0.8234007954597473,-0.5246330499649048,5.13112735748291,0.6040289402008057,0.8355814814567566,-0.6811690330505371,5.218530178070068,-0.15653598308563232,-0.012180685997009277
310,0.5177186131477356,0.8281197547912598,-0.5191978216171265,5.120234489440918,0.5647952556610107,0.8326835632324219,-0.680324137210846,5.2211995124816895,-0.16112631559371948,-0.004563808441162109
320,0.5687287449836731,0.8203681111335754,-0.519609808921814,5.124265193939209,0.7010626792907715,0.8232690691947937,-0.5998708009719849,5.19809627532959,-0.0802609920501709,-0.0029009580612182617
330,0.7763351202011108,0.8272244930267334,-0.5319923758506775,5.12813663482666,1.2815871238708496,0.8500411510467529,-0.7516374588012695,5.2388410568237305,-0.21964508295059204,-0.02281665802001953
340,0.46840304136276245,0.8195284605026245,-0.5092947483062744,5.121457099914551,0.5981161594390869,0.8227397203445435,-0.6004685163497925,5.198193550109863,-0.09117376804351807,-0.0032112598419189453
350,0.5254781246185303,0.822323203086853,-0.5306617021560669,5.135261535644531,0.6176008582115173,0.83177649974823,-0.6609613299369812,5.210753440856934,-0.1302996277809143,-0.009453296661376953
360,0.6328086853027344,0.8226697444915771,-0.5187318325042725,5.124860763549805,0.6900447607040405,0.8320211172103882,-0.6502003073692322,5.207852363586426,-0.13146847486495972,-0.009351372718811035
370,0.5197141766548157,0.8315377235412598,-0.5400768518447876,5.1313066482543945,0.6036463379859924,0.8324155807495117,-0.6065951585769653,5.191787242889404,-0.06651830673217773,-0.0008778572082519531
380,0.4037593901157379,0.826109766960144,-0.5259727239608765,5.12440299987793,0.5138943195343018,0.8280909061431885,-0.6188200116157532,5.189964294433594,-0.09284728765487671,-0.0019811391830444336
390,0.487804114818573,0.8255805969238281,-0.531973659992218,5.128200531005859,0.5293070077896118,0.8407503962516785,-0.6795482039451599,5.207594871520996,-0.1475745439529419,-0.015169799327850342
400,0.6956061720848083,0.8213647603988647,-0.5231980085372925,5.128561973571777,0.6550396084785461,0.8250634670257568,-0.6246885061264038,5.20395565032959,-0.10149049758911133,-0.00369870662689209
410,0.4871034324169159,0.8234474658966064,-0.5199841260910034,5.124013423919678,0.5824209451675415,0.8264702558517456,-0.6269431114196777,5.199289321899414,-0.10695898532867432,-0.00302278995513916
420,0.6250059604644775,0.8267269134521484,-0.5260279178619385,5.12158727645874,0.707831084728241,0.8338921070098877,-0.6591187715530396,5.201616287231445,-0.13309085369110107,-0.007165193557739258
430,0.4771617650985718,0.8251190185546875,-0.5328035950660706,5.130215167999268,0.5389547348022461,0.8332080841064453,-0.6572829484939575,5.1984148025512695,-0.12447935342788696,-0.008089065551757812
440,0.5693159103393555,0.821865975856781,-0.5188342928886414,5.120072841644287,0.690340518951416,0.8244652152061462,-0.6157469153404236,5.195406913757324,-0.09691262245178223,-0.0025992393493652344
450,0.5505537986755371,0.822425127029419,-0.5217859148979187,5.122675895690918,0.6835041642189026,0.828474760055542,-0.6226794123649597,5.192919731140137,-0.10089349746704102,-0.006049633026123047
460,0.4393770098686218,0.8211392760276794,-0.5120221972465515,5.119118690490723,0.573820173740387,0.8270584344863892,-0.609786868095398,5.1835618019104,-0.09776467084884644,-0.005919158458709717
470,0.40934985876083374,0.824337363243103,-0.5205997824668884,5.121487617492676,0.48901841044425964,0.8261908888816833,-0.6123729944229126,5.1851396560668945,-0.09177321195602417,-0.0018535256385803223
480,0.40544593334198,0.8222798109054565,-0.5190066695213318,5.12122106552124,0.5347678661346436,0.817648708820343,-0.603346586227417,5.183206558227539,-0.0843399167060852,0.004631102085113525
490,0.49580028653144836,0.8266803026199341,-0.5286511182785034,5.123939514160156,0.5164587497711182,0.826926589012146,-0.603169858455658,5.175059795379639,-0.07451874017715454,-0.00024628639221191406
500,0.43410128355026245,0.8244476318359375,-0.5286190509796143,5.125840663909912,0.49430686235427856,0.8331618309020996,-0.659011960029602,5.1938605308532715,-0.1303929090499878,-0.00871419906616211
